name,norad_cat_id,classification,int_designator,epoch_year,epoch_day,first_derivative_mean_motion,second_derivative_mean_motion,bstar_drag,ephemeris_type,element_set_number,inclination,raan,eccentricity,arg_of_perigee,mean_anomaly,mean_motion,rev_number,anomaly_label
STARLINK-33986,63870,U,25094G,25,280.27399688,-2.509e-05,0.0,-20274000.0,0,999,70.0008,261.2388,0.0003011,278.4714,81.6104,14.98303293,2422,0
STARLINK-34013,63871,U,25094H,25,280.33335648,0.00039702,0.0,3248500.0,0,999,70.0004,261.0401,0.0002857,274.444,95.9333,14.99128619,592,0
STARLINK-34059,63872,U,25094J,25,280.23980903,3.415e-05,0.0,28773000.0,0,999,70.0,261.529,0.0003175,274.277,85.8027,14.99147706,2421,0
STARLINK-33987,63873,U,25094K,25,280.26994158,3.395e-05,0.0,28604000.0,0,999,70.0,261.2299,0.0003541,279.278,80.7979,14.99156902,2422,0
STARLINK-34052,63874,U,25094L,25,280.29886174,2.298e-05,0.0,20024000.0,0,999,69.9998,261.3301,0.0002968,277.7708,82.3114,14.98339662,2422,0
STARLINK-34023,63875,U,25094M,25,280.26812512,4.174e-05,0.0,34996000.0,0,999,70.0005,261.2217,0.0003009,269.3431,90.7384,14.99150204,2422,0
STARLINK-34061,63876,U,25094N,25,280.24477419,-0.00244978,0.0,-210870.0,0,999,70.0017,261.5396,0.0002111,276.4364,83.6555,14.98628036,2421,0
STARLINK-33778,63877,U,25094P,25,280.28650583,-0.00028818,0.0,-2415100.0,0,999,70.0003,261.2825,0.0002934,273.9889,86.0934,14.98365867,2422,0
STARLINK-33901,63878,U,25094Q,25,280.3032166,7.044e-05,0.0,59756000.0,0,999,69.9999,261.3395,0.0002979,268.0202,92.0615,14.98330571,2422,0
STARLINK-33812,63879,U,25094R,25,280.28053983,0.00021689,0.0,1780800.0,0,999,69.9994,261.2594,0.00036,272.0666,88.0081,14.99168221,2422,0
STARLINK-33779,63880,U,25094S,25,280.23552897,3.02e-05,0.0,25533000.0,0,999,70.0009,261.5147,0.0002305,265.8706,94.219,14.99149647,2421,0
STARLINK-33905,63881,U,25094T,25,280.33335648,0.00032903,0.0,2749500.0,0,999,70.0005,260.9676,0.0001086,258.6092,174.9796,14.98374322,586,0
STARLINK-34003,63882,U,25094U,25,280.29818626,0.00056667,0.0,1286500.0,0,999,70.0005,259.3181,0.0003017,267.428,92.6557,15.42745384,2427,0
STARLINK-33968,63883,U,25094V,25,280.24067494,-0.00186045,0.0,-158520.0,0,999,69.9994,261.5248,0.0003392,269.914,90.1631,14.98689911,2421,0
STARLINK-33943,63884,U,25094W,25,280.25456441,9.521e-05,0.0,78819000.0,0,999,70.0005,261.1744,0.0007997118298376279,270.1526,89.9296,14.99129831,2422,1
STARLINK-33858,63885,U,25094X,25,280.33335648,0.00036211,0.0,3027800.0,0,999,70.0004,261.0888,0.0003356,267.5966,53.5421,14.98318407,591,0
STARLINK-33885,63886,U,25094Y,25,280.25711992,4.959e-05,0.0,42296000.0,0,999,70.0001,261.1809,0.0003257,271.3795,88.6991,14.98346179,2422,0
